type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
1,6.3,-1.2039728043259361,0.34,0.9555114450274363,0.22135943621178655,3.7416573867739413,11.489125293076057,0.994,3.3,0.49,2.2512917986064953,0
1,8.1,-1.2729656758128873,0.4,2.066862759472976,0.22360679774997896,5.477225575051661,9.848857801796104,0.9951,3.26,0.44,2.312535423847214,0
1,7.2,-1.4696759700589417,0.32,2.2512917986064953,0.24083189157584592,6.855654600401044,13.638181696985855,0.9956,3.19,0.4,2.2925347571405443,0
1,6.2,-1.1394342831883648,0.16,2.0794415416798357,0.21213203435596426,5.477225575051661,11.661903789690601,0.9949,3.18,0.47,2.2617630984737906,0
1,8.1,-1.5141277326297755,0.43,0.9162907318741551,0.20976176963403032,5.291502622129181,11.357816691600547,0.9938,3.22,0.45,2.3978952727983707,0
1,8.1,-1.3093333199837622,0.41,0.8960880245566356,0.1816590212458495,3.3166247903554,7.937253933193772,0.9908,2.99,0.56,2.4849066497880004,0
1,8.6,-1.4696759700589417,0.4,1.6486586255873816,0.18708286933869708,4.123105625617661,10.44030650891055,0.9947,3.14,0.53,2.272125885509337,0
1,7.9,-1.7147984280919266,0.37,0.7884573603642702,0.2,4.0,8.660254037844387,0.992,3.18,0.63,2.379546134130174,0
1,6.6,-1.8325814637483102,0.4,0.9162907318741551,0.20976176963403032,6.928203230275509,11.958260743101398,0.9912,3.54,0.52,2.517696472610991,1
1,6.6,-1.7719568419318752,0.38,0.9162907318741551,0.17888543819998318,5.291502622129181,10.583005244258363,0.9914,3.25,0.55,2.4336133554004498,1
1,6.3,-0.7339691750802004,0.04,0.7419373447293773,0.21447610589527216,5.477225575051661,9.9498743710662,0.9928,3.24,0.36,2.2617630984737906,0
1,7.4,-1.0788096613719298,0.42,0.7419373447293773,0.1816590212458495,4.123105625617661,13.076696830622021,0.9917,3.12,0.53,2.424802725718295,0
1,6.5,-1.171182981502945,0.14,2.1400661634962708,0.20976176963403032,5.830951894845301,11.532562594670797,0.9955,3.22,0.5,2.2512917986064953,0
1,6.2,-0.4155154439616658,0.48,0.7884573603642702,0.17029386365926402,5.385164807134504,8.660254037844387,0.9892,3.33,0.39,2.5494451709255714,1
